term,language,definition,categories,target
boojie,English,An American Indian A middle-class American derived from bourgeois,Ethnicity,Aboriginal
boojies,English,A middle-class American derived from bourgeois An American Indian.,Ethnicity,
book book,English,In Hawaii denotes a Filipino from the alleged sound of Filipino language.,Nationality,Philippines
book books,English,In Hawaii denotes a Filipino from the alleged sound of Filipino language.,Nationality,Philippines
boon,English,Canberra word for white trash or redneck sometimes shortened to boon A windfall or beneficial event,Nationality,Ireland
booner,English,Canberra word for white trash or redneck sometimes shortened to boon,Nationality,Ireland
booners,English,Canberra word for white trash or redneck sometimes shortened to boon,Nationality,Ireland
boong,English,Australian aboriginal. Boong pronounced with (like the vowel in bull) is related to the Australian English slang word bung meaning dead; infected; or dysfunctional. From bung to go bung Originally to die then to break down go bankrupt cease to function Ab. bong dead. Highly offensive. In New Zealand a Pacific Islander.,Ethnicity,English
boonga,English,Australian aboriginal. Boong pronounced with (like the vowel in bull) is related to the Australian English slang word bung meaning dead; infected; or dysfunctional. From bung to go bung Originally to die then to break down go bankrupt cease to function Ab. bong dead. Highly offensive. In New Zealand a Pacific Islander.,Ethnicity,English
boongas,English,Australian aboriginal. Boong pronounced with (like the vowel in bull) is related to the Australian English slang word bung meaning dead; infected; or dysfunctional. From bung to go bung Originally to die then to break down go bankrupt cease to function Ab. bong dead. Highly offensive. In New Zealand a Pacific Islander.,Ethnicity,English
boongs,English,Australian aboriginal. Boong pronounced with (like the vowel in bull) is related to the Australian English slang word bung meaning dead; infected; or dysfunctional. From bung to go bung Originally to die then to break down go bankrupt cease to function Ab. bong dead. Highly offensive. In New Zealand a Pacific Islander.,Ethnicity,English
boonie,English,Australian aboriginal. Boong pronounced with (like the vowel in bull) is related to the Australian English slang word bung meaning dead; infected; or dysfunctional. From bung to go bung Originally to die then to break down go bankrupt cease to function Ab. bong dead. Highly offensive. In New Zealand a Pacific Islander.,Ethnicity,English
boonies,English,Australian aboriginal. Boong pronounced with (like the vowel in bull) is related to the Australian English slang word bung meaning dead; infected; or dysfunctional. From bung to go bung Originally to die then to break down go bankrupt cease to function Ab. bong dead. Highly offensive. In New Zealand a Pacific Islander.,Ethnicity,English
boons,English,Canberra word for white trash or redneck sometimes shortened to boon A windfall or beneficial event,Nationality,Ireland
boos,English,A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo meaning meek or servile. An exclamation intended to scare the listener,Ethnicity,
bootlip,English,A term for African Americans,Ethnicity,African American
bootlips,English,A term for African Americans,Ethnicity,African American
bor,Rundi,Derogatory word for Tutsis in the Congo from penis or thing.,Ethnicity,Tutsi
border babies,English,,Ethnicity,
border baby,English,,Ethnicity,
border bandit,English,,Nationality,Mexico
border bandito,English,,Nationality,Mexico
border banditoes,English,,Nationality,Mexico
border banditos,English,,Nationality,Mexico
border bandits,English,,Nationality,Mexico
border bunnies,English,A person of Latino descent particularly a Mexican migrant laborer.,Ethnicity,
border bunny,English,A person of Latino descent particularly a Mexican migrant laborer.,Ethnicity,
border hopper,English,A person of Latino descent particularly a Mexican migrant laborer.,Ethnicity,
border hoppers,English,A person of Latino descent particularly a Mexican migrant laborer.,Ethnicity,
border jumper,English,A person of Latino descent particularly a Mexican migrant laborer.,Ethnicity,
border jumpers,English,A person of Latino descent particularly a Mexican migrant laborer.,Ethnicity,
border nigger,English,A person of Latino descent particularly a Mexican migrant laborer.,Ethnicity,
border niggers,English,A person of Latino descent particularly a Mexican migrant laborer.,Ethnicity,
bosch,French,A German (shortened from the French term caboche dure hard head or stubborn).,Nationality,Germany
bosche,French,A German (shortened from the French term caboche dure hard head or stubborn).,Nationality,Germany
boseulachi,Korean,,Gender,Female
boskur,Slovenian,Slovenian slur for uneducated workers from Bosnia and Herzegovina from Bosnian and chefur,Nationality,Bosnia And Herzegovina
boslachi,Korean,,Gender,Female
bosneger,Dutch,Bush negro originally referred to escaped slaves in Suriname (Dutch Guyana) who hid in the jungle.,Ethnicity,African
bosyanju,Luyia,Luhya slur for members of the Sabaot ethnic community from arsonist.,Ethnicity,
boucaque,French,A dark skinned person akin to nigger or sand nigger,Ethnicity,Arabs
boucaques,French,A dark skinned person akin to nigger or sand nigger,Ethnicity,Arabs
bougnoule,French,In France a person of African or Middle Eastern descent,Ethnicity,
boujee,English,Slang for bourgeois,Class,
boujees,English,,Class,
boukak,French,A dark skinned person akin to nigger or sand nigger,Ethnicity,Arabs
Bounty bar,English,White on the inside and brown on the outside like a Bounty chocolate bar. As with wigger this is both a subcultural and ethnic slur. The immediate target is criticized for having the cultural values of a different ethnic group with the implication that the ethnic group in question is bad or inferior. Coconut and Oreo are used in the same way.,Ethnicity,
Bounty bars,English,White on the inside and brown on the outside like a Bounty chocolate bar. As with wigger this is both a subcultural and ethnic slur. The immediate target is criticized for having the cultural values of a different ethnic group with the implication that the ethnic group in question is bad or inferior. Coconut and Oreo are used in the same way.,Ethnicity,
boxhead,English,A person of German descent.,Nationality,Germany
boxheads,English,A person of German descent.,Nationality,Germany
buckras,English,African-Americans slur for Caucasians in the Southeast United States particularly Caucasians in a position of authority possibly from Efik word mbakara meaning master,Ethnicity,
buckrette,English,,Ethnicity,
buckrettes,English,,Ethnicity,
bucks,English,A male Native American. A male black person. Male animal,Ethnicity,
Buckwheat,English,A black person from the character on The Little Rascals. A plant,Ethnicity,
buco,Italian,,Sexual Orientation,Homosexual
Buddhahead,English,An Asian. Also used by mainland Japanese Americans to refer to Hawaiian Japanese Americans since World War II.,Ethnicity,Hawaiian
Buddhaheads,English,An Asian. Also used by mainland Japanese Americans to refer to Hawaiian Japanese Americans since World War II.,Ethnicity,Hawaiian
budos olah,Hungarian,Hungarian slur in Transylvania from stinky Romanian,Nationality,Romania
buffie,English,A black person. a young brown-skinned person 1940s-1950s,Ethnicity,
buffies,English,A black person. a young brown-skinned person 1940s-1950s,Ethnicity,
buffy,English,,Ethnicity,
bug eater,English,An person of Asian descent.,Ethnicity,
bug eaters,English,An person of Asian descent.,Ethnicity,
bugre,Portuguese,A Brazilian indigenous Indian,Ethnicity,Aboriginal
bugres,Portuguese,A Brazilian indigenous Indian,Ethnicity,Aboriginal
buk buk,English,In Hawaii denotes a Filipino from the alleged sound of Filipino language.,Nationality,Philippines
buk buks,English,In Hawaii denotes a Filipino from the alleged sound of Filipino language.,Nationality,Philippines
bulangii,Romanian,A homosexual,Sexual Orientation,Homosexual
bulangiu,Romanian,A homosexual,Sexual Orientation,Homosexual
bule,Indonesian,A foreigner particularly a Caucasian or an albino (sometimes used in pejorative manner),Ethnicity,European
bule-bule,Indonesian,,Ethnicity,European
buleh,Indonesian,An albino A Caucasian,Ethnicity,
buleku,Indonesian,,Ethnicity,European
bulemu,Indonesian,,Ethnicity,European
bulenya,Indonesian,,Ethnicity,European
Bulgaroskopian,Greek,Used by Greeks when referring to the Macedonians in an attempt to deny self-identification,Nationality,Macedonia
bull dyke,English,,Sexual Orientation,Homosexual
bull dykes,English,,Sexual Orientation,Homosexual
bumblebee,English,A person of mixed black and Asian parentage. An insect,Ethnicity,
bumblebees,English,A person of mixed black and Asian parentage. An insect,Ethnicity,
bume,Suri,Suri slur for neighboring tribe the Nyangatom meaning smelly ones,Ethnicity,
bung,English,Australian aboriginal. Boong pronounced with (like the vowel in bull) is related to the Australian English slang word bung meaning dead; infected; or dysfunctional. From bung to go bung Originally to die then to break down go bankrupt cease to function Ab. bong dead. Highly offensive. In New Zealand a Pacific Islander. To break,Ethnicity,English
bunga,English,Australian aboriginal. Boong pronounced with (like the vowel in bull) is related to the Australian English slang word bung meaning dead; infected; or dysfunctional. From bung to go bung Originally to die then to break down go bankrupt cease to function Ab. bong dead. Highly offensive. In New Zealand a Pacific Islander.,Ethnicity,English
bungas,English,Australian aboriginal. Boong pronounced with (like the vowel in bull) is related to the Australian English slang word bung meaning dead; infected; or dysfunctional. From bung to go bung Originally to die then to break down go bankrupt cease to function Ab. bong dead. Highly offensive. In New Zealand a Pacific Islander.,Ethnicity,English
bungs,English,Australian aboriginal. Boong pronounced with (like the vowel in bull) is related to the Australian English slang word bung meaning dead; infected; or dysfunctional. From bung to go bung Originally to die then to break down go bankrupt cease to function Ab. bong dead. Highly offensive. In New Zealand a Pacific Islander. To break,Ethnicity,English
burrhead,English,A black person (referencing stereotypical hair type).,Ethnicity,
burrheads,English,A black person (referencing stereotypical hair type).,Ethnicity,
bush bandit,English,Referring to North American aboriginals,Ethnicity,Aboriginal
bush bandits,English,,Ethnicity,Aboriginal
bushnigger,English,Referring to North American Aboriginals specifically,Ethnicity,Aboriginal
bushniggers,English,,Ethnicity,Aboriginal
bushniglet,English,,Ethnicity,Aboriginal
bushniglets,English,,Ethnicity,Aboriginal
